stage,process,granularity,n_tasks,cpu_hours,cpu_hours_range,cpu_hours_total,peak_rss_gb,peak_rss_gb_range,realtime_h,realtime_h_range,workdir_gb,workdir_gb_range
Binning,SEQKIT_STATS,per assembly x binner,330,0.0,0.0-0.0,0.3,0.05,0.01-0.07,0.0,0.0-0.01,0.0,0.0-0.0
Binning,METABINNER_TOOSHORT,per assembly,55,0.0,0.0-0.0,0.1,0.47,0.11-1.2,0.0,0.0-0.01,0.3,0.16-0.62
Binning,CONCOCT_CUTUPFASTA,per assembly,55,0.0,0.0-0.0,0.1,0.12,0.04-0.15,0.0,0.0-0.01,0.41,0.16-0.93
Binning,CONCOCT_MERGECUTUPCLUSTERING,per assembly,55,0.0,0.0-0.0,0.0,0.13,0.09-0.14,0.0,0.0-0.0,0.0,0.0-0.0
Bin refinement (DAS Tool),DASTOOL_DASTOOL,per assembly,55,0.71,0.34-1.46,40.2,0.67,0.44-1.3,0.26,0.09-0.72,0.51,0.24-1.05
Bin refinement (DAS Tool),RENAME_POSTDASTOOL,per assembly,55,0.02,0.01-0.04,1.0,0.01,0.01-0.01,0.03,0.01-0.05,0.1,0.05-0.19
Bin refinement (DAS Tool),DASTOOL_FASTATOCONTIG2BIN,per bin,330,0.0,0.0-0.0,0.3,0.02,0.01-0.08,0.0,0.0-0.01,0.0,0.0-0.01
Bin refinement (DAS Tool),RENAME_PREDASTOOL,per assembly x binner,330,0.0,0.0-0.0,0.2,0.01,0.0-0.01,0.01,0.0-0.02,0.26,0.09-0.63
Bin QC (BUSCO),BUSCO_BUSCO,per assembly x binner,385,4.63,1.5-14.52,1958.7,8.7,6.1-14.6,2.04,0.61-6.39,0.79,0.36-1.73
Bin QC (BUSCO),CONCAT_BUSCO_TSV,once per run,2,0.0,0.0-0.0,0.0,0.02,0.02-0.02,0.0,0.0-0.0,0.0,0.0-0.01
Bin QC (CheckM2),CHECKM2_PREDICT,per assembly x binner,385,1.03,0.5-2.45,416.6,13.2,12.5-19.2,0.23,0.1-0.57,0.12,0.04-0.29
Bin QC (CheckM2),CONCAT_CHECKM2_TSV,once per run,2,0.0,0.0-0.0,0.0,0.03,0.02-0.04,0.0,0.0-0.0,0.0,0.0-0.01
Bin QC (QUAST),QUAST_BINS,per assembly x binner,385,0.13,0.04-0.44,57.5,0.29,0.1-0.79,0.18,0.05-0.7,0.15,0.04-0.59
Bin QC (QUAST),CONCAT_QUAST_SUMMARY,once per run,2,0.0,0.0-0.0,0.0,0.03,0.02-0.05,0.0,0.0-0.0,0.0,0.0-0.01
