dataset,experiment,sample,assembler,quast_assembly_id,# contigs (>= 0 bp),# contigs (>= 1000 bp),# contigs (>= 5000 bp),# contigs (>= 10000 bp),# contigs (>= 25000 bp),# contigs (>= 50000 bp),Total length (>= 0 bp),Total length (>= 1000 bp),Total length (>= 5000 bp),Total length (>= 10000 bp),Total length (>= 25000 bp),Total length (>= 50000 bp),# contigs,Largest contig,Total length,GC (%),N50,N75,L50,L75,# N's per 100 kbp,# predicted rRNA genes,# predicted rRNA genes (complete),# predicted rRNA genes (partial),report_path
zymo,polish,zymo_fecal,FLYE,FLYE-zymo_fecal,12174,11891,10487,8670,5113,2603,553890316,553699998,549308021,535836538,476926098,388235317,12163,2945839,553885582,45.98,106056,41265,1059,3199,0.0,1516 + 46 part,1516,46,zymobiomics_feca/10.processing/results_polish/Assembly/FLYE/QC/zymo_fecal/QUAST/report.tsv
zymo,polish,zymo_fecal,METAMDBG,METAMDBG-zymo_fecal,14708,14708,14014,11102,5082,2286,670030290,670030290,667452261,643994238,549159351,450840679,14708,3778254,670030290,46.31,134849,35402,788,3528,0.0,1831 + 42 part,1831,42,zymobiomics_fecal/10.processing/results_polish/Assembly/METAMDBG/QC/zymo_fecal/QUAST/report.tsv
