task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2788	ad/8f22b4	4350871	NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-zymo_fecal.118)	CACHED	0	2026-07-31 09:09:09.881	2h 17m 15s	4m 41s	181.1%	452.1 MB	641.5 MB	121.3 GB	155 MB
2790	e0/508aaa	4350873	NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-zymo_fecal.120)	CACHED	0	2026-07-31 09:13:14.890	2h 14m 40s	1m 42s	171.2%	402.8 MB	687.4 MB	47.7 GB	64.9 MB
2791	a5/aeb678	4350874	NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-zymo_fecal.121)	CACHED	0	2026-07-31 09:14:14.877	2h 15m 45s	4m 8s	180.5%	414.2 MB	669 MB	122.1 GB	146.3 MB
2787	07/1e64bf	4350870	NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-zymo_fecal.117)	CACHED	0	2026-07-31 09:09:09.862	2h 13m 5s	35.1s	134.3%	286.6 MB	572.4 MB	9 GB	29.2 MB
2789	25/0ad425	4350872	NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-zymo_fecal.119)	CACHED	0	2026-07-31 09:11:09.874	2h 14m 15s	2m 52s	171.9%	373.1 MB	2.6 GB	79.3 GB	91.9 MB
2793	2e/dbb46b	4350877	NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-zymo_fecal.123)	CACHED	0	2026-07-31 09:18:14.889	2h 14m 10s	2m 45s	175.2%	393.9 MB	2.8 GB	65.2 GB	93.5 MB
2792	ed/8689e4	4350875	NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-zymo_fecal.122)	CACHED	0	2026-07-31 09:14:24.885	2h 14m 35s	2m 43s	178.3%	394.9 MB	619.6 MB	96.5 GB	99.2 MB
2794	ae/01e53a	4350876	NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-zymo_fecal.124)	CACHED	0	2026-07-31 09:18:09.888	2h 11m 50s	1m 46s	168.9%	352.6 MB	1.3 GB	42.3 GB	68.8 MB
2796	79/a0f4fb	4350878	NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-zymo_fecal.126)	CACHED	0	2026-07-31 09:19:14.887	2h 14m 10s	3m 52s	181.5%	419.5 MB	669.2 MB	97.9 GB	136.1 MB
2799	82/007eb8	4350883	NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-zymo_fecal.129)	CACHED	0	2026-07-31 09:25:14.905	2h 10m 45s	2m 31s	174.7%	385 MB	666.7 MB	79.6 GB	91 MB
2795	75/b7cb35	4350880	NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-zymo_fecal.125)	CACHED	0	2026-07-31 09:21:09.896	2h 12m 50s	1m 4s	168.4%	505.8 MB	2.7 GB	26.9 GB	45.9 MB
2797	8b/91ca95	4350879	NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-zymo_fecal.127)	CACHED	0	2026-07-31 09:20:09.887	2h 12m 45s	3m 7s	179.8%	419.8 MB	602.2 MB	91.7 GB	112.6 MB
2798	ce/93fb4a	4350881	NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-zymo_fecal.128)	CACHED	0	2026-07-31 09:22:24.902	2h 13m 30s	1m 58s	177.4%	410.6 MB	617.8 MB	56.3 GB	78.1 MB
