dataset,experiment,sample,assembler,quast_assembly_id,# contigs (>= 0 bp),# contigs (>= 1000 bp),# contigs (>= 5000 bp),# contigs (>= 10000 bp),# contigs (>= 25000 bp),# contigs (>= 50000 bp),Total length (>= 0 bp),Total length (>= 1000 bp),Total length (>= 5000 bp),Total length (>= 10000 bp),Total length (>= 25000 bp),Total length (>= 50000 bp),# contigs,Largest contig,Total length,GC (%),N50,N75,L50,L75,# N's per 100 kbp,# predicted rRNA genes,# predicted rRNA genes (complete),# predicted rRNA genes (partial),report_path
zymobiomics_fecal,hybrid,zymo_fecal,FLYE,FLYE-zymo_fecal,12174,11891,10487,8670,5114,2604,554093597,553903200,549509740,536032700,477120551,388409816,12163,2945884,554088862,46.01,106134,41273,1059,3200,0.0,1516 + 46 part,1516,46,zymobiomics_fecal/10.processing/results_hybrid/Assembly/FLYE/QC/zymo_fecal/QUAST/report.tsv
zymobiomics_fecal,hybrid,zymo_fecal,MEGAHIT,MEGAHIT-zymo_fecal,544106,114589,18509,7726,1907,498,647437899,436742040,250746747,176159554,89284246,41502520,280577,652616,549466815,47.15,3990,1199,23887,92007,0.0,279 + 94 part,279,94,zymobiomics_fecal/10.processing/results_hybrid/Assembly/MEGAHIT/QC/zymo_fecal/QUAST/report.tsv
zymobiomics_fecal,hybrid,zymo_fecal,METAMDBG,METAMDBG-zymo_fecal,14708,14708,14014,11101,5082,2287,670022776,670022776,667445090,643977371,549153733,450887327,14708,3778370,670022776,46.31,134846,35400,788,3528,0.0,1828 + 42 part,1828,42,zymobiomics_fecal/10.processing/results_hybrid/Assembly/METAMDBG/QC/zymo_fecal/QUAST/report.tsv
zymobiomics_fecal,hybrid,zymo_fecal,SPAdes,SPAdes-zymo_fecal,1304494,118485,16990,6274,1168,237,771047324,399154456,199179704,125625052,49844571,18490074,273957,543748,505226327,46.94,3204,1158,30470,99657,69.18,84 + 43 part,84,43,zymobiomics_fecal/10.processing/results_hybrid/Assembly/SPAdes/QC/zymo_fecal/QUAST/report.tsv
zymobiomics_fecal,hybrid,zymo_fecal,SPAdesHybrid,SPAdesHybrid-zymo_fecal,1070337,95920,24304,10599,3270,1281,837686013,558768075,402295683,306835195,196977223,128139453,183265,1130622,617887903,46.87,9856,3011,10812,40088,1466.14,128 + 35 part,128,35,zymobiomics_fecal/10.processing/results_hybrid/Assembly/SPAdesHybrid/QC/zymo_fecal/QUAST/report.tsv
