task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3503	b2/b1d1b5	4327354	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (FLYE-MetaBinner-D01)	CACHED	0	2026-07-08 15:17:25.762	6m 18s	4s	79.3%	65.6 MB	143.3 MB	74 MB	2.6 KB
3483	aa/a9ae92	4327355	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (FLYE-CONCOCT-D09)	CACHED	0	2026-07-08 15:17:25.777	6m 3s	7s	84.3%	42.7 MB	105.3 MB	120.5 MB	4.5 KB
3493	31/ad26d0	4327287	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (FLYE-SemiBin2-D03)	CACHED	0	2026-07-08 15:17:24.495	5m 39s	4s	72.6%	61.1 MB	137 MB	69 MB	3.7 KB
3468	81/2f885c	4327329	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (METAMDBG-MaxBin2-D01)	CACHED	0	2026-07-08 15:17:25.300	5m 43s	5s	79.0%	56.9 MB	131.2 MB	79.8 MB	3.4 KB
3445	61/f25a9f	4327518	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (METAMDBG-COMEBin-D02)	CACHED	0	2026-07-08 15:23:03.838	1m 5s	5s	77.6%	52.2 MB	126.8 MB	127.9 MB	9.5 KB
3509	8b/15c1b6	4327268	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (METAMDBG-MetaBinner-D10)	CACHED	0	2026-07-08 15:17:23.960	5m 40s	4s	76.5%	57.1 MB	131.5 MB	55.7 MB	2.1 KB
3497	c5/0b4e15	4327292	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (FLYE-CONCOCT-D03)	CACHED	0	2026-07-08 15:17:24.645	5m 39s	5s	79.8%	63 MB	140.2 MB	75.7 MB	3.8 KB
3471	1b/fff784	4327332	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (METAMDBG-MetaBAT2-D09)	CACHED	0	2026-07-08 15:17:25.349	6m 3s	7s	83.5%	41.4 MB	105.3 MB	109.6 MB	7.6 KB
3490	bd/eef693	4327328	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (METAMDBG-CONCOCT-D05)	CACHED	0	2026-07-08 15:17:25.288	6m 18s	7s	83.2%	57.3 MB	132.3 MB	125.9 MB	5.2 KB
3495	4f/89e572	4327299	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (FLYE-MaxBin2-D03)	CACHED	0	2026-07-08 15:17:24.809	5m 39s	5s	70.1%	38.7 MB	105.3 MB	59.8 MB	1.7 KB
3473	41/2d954b	4327330	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (METAMDBG-SemiBin2-D09)	CACHED	0	2026-07-08 15:17:25.315	5m 43s	4s	77.6%	57.4 MB	131.5 MB	117.7 MB	7.5 KB
3478	d5/9d14a0	4327522	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (FLYE-SemiBin2-D09)	CACHED	0	2026-07-08 15:23:04.012	1m 5s	4s	77.2%	37.5 MB	62.7 MB	108.9 MB	6.2 KB
3500	4b/048537	4327519	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (FLYE-COMEBin-D01)	CACHED	0	2026-07-08 15:23:03.883	1m 5s	4s	75.7%	38.6 MB	105.3 MB	94.7 MB	4.2 KB
3504	41/9a471c	4327362	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (FLYE-CONCOCT-D01)	CACHED	0	2026-07-08 15:17:25.883	6m 48s	5s	83.1%	45.2 MB	105.3 MB	100.4 MB	3.6 KB
3479	eb/5474e7	4327523	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (FLYE-MetaBAT2-D09)	CACHED	0	2026-07-08 15:23:04.055	1m 5s	6s	83.3%	57.4 MB	131.5 MB	102.2 MB	6.4 KB
3499	17/3fe57e	4327524	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (FLYE-SemiBin2-D01)	CACHED	0	2026-07-08 15:23:04.091	1m 5s	4s	75.7%	50.7 MB	120.9 MB	90.9 MB	4.6 KB
3507	87/79c675	4327280	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (METAMDBG-SemiBin2-D10)	CACHED	0	2026-07-08 15:17:24.283	5m 39s	4s	70.9%	57.1 MB	131.5 MB	71.3 MB	4 KB
3516	4c/1db16d	4327555	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (FLYE-MetaBinner-D05)	CACHED	0	2026-07-08 15:23:09.213	1m 4s	5s	78.6%	46.4 MB	117 MB	83.2 MB	3.1 KB
3486	40/3d5179	4327334	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (METAMDBG-SemiBin2-D05)	CACHED	0	2026-07-08 15:17:25.384	6m 18s	5s	77.3%	62.8 MB	140.3 MB	112.9 MB	6.8 KB
3508	25/fb6d99	4327289	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (METAMDBG-MetaBAT2-D10)	CACHED	0	2026-07-08 15:17:24.569	5m 39s	5s	79.5%	36.6 MB	61.6 MB	66.3 MB	4.3 KB
