dataset,sample,assembler,assembly,# contigs (>= 0 bp),# contigs (>= 1000 bp),# contigs (>= 5000 bp),# contigs (>= 10000 bp),# contigs (>= 25000 bp),# contigs (>= 50000 bp),Total length (>= 0 bp),Total length (>= 1000 bp),Total length (>= 5000 bp),Total length (>= 10000 bp),Total length (>= 25000 bp),Total length (>= 50000 bp),# contigs,Largest contig,Total length,GC (%),N50,N75,L50,L75,# N's per 100 kbp,# predicted rRNA genes
zymobiomics_fecal,zymo_fecal,FLYE,FLYE-zymo_fecal,12178,11888,10527,8721,5140,2662,553853331,553654911,549361021,536067597,476994539,388948343,12166,3866502,553848891,46.00,104289,41245,1105,3244,0.00,1483 + 35 part
zymobiomics_fecal,zymo_fecal,MEGAHIT,MEGAHIT-zymo_fecal,544106,114589,18509,7726,1907,498,647437899,436742040,250746747,176159554,89284246,41502520,280577,652616,549466815,47.15,3990,1199,23887,92007,0.00,279 + 94 part
zymobiomics_fecal,zymo_fecal,METAMDBG,METAMDBG-zymo_fecal,14683,14683,13999,11098,5093,2286,669964415,669964415,667413408,644031660,549458617,450883304,14683,3778408,669964415,46.31,134635,35402,787,3527,0.00,1826 + 43 part
zymobiomics_fecal,zymo_fecal,SPAdes,SPAdes-zymo_fecal,1304494,118485,16990,6274,1168,237,771047324,399154456,199179704,125625052,49844571,18490074,273957,543748,505226327,46.94,3204,1158,30470,99657,69.18,84 + 43 part
zymobiomics_fecal,zymo_fecal,SPAdesHybrid,SPAdesHybrid-zymo_fecal,1070337,95920,24304,10599,3270,1281,837686013,558768075,402295683,306835195,196977223,128139453,183265,1130622,617887903,46.87,9856,3011,10812,40088,1466.14,128 + 35 part
